treatment_company,operator,age,azimuth,md,tvd,footage_lateral_length,porpoise_deviation,porpoise_count,shale_footage,acoustic_impedance,log_permeability,poisson_ratio,toc,vcl,p-velocity,s-velocity,youngs_modulus,isip,pump_rate,total_number_of_stages,proppant_volume,proppant_fluid_ratio,production
10,11,9,-43.779999,12670,7659.0,4470.0,3.66,9,2161,34789.16,0.52,0.33,4.63,0.5,12901.65,7121.76,31.5,4656.0,70,22,4423479.0,0.88,1462.232381
8,12,9,-48.919998,15961,8119.0,7012.0,0.43,8,0,30376.98,0.68,0.33,5.08,0.4,13595.4,6955.35,30.83,6333.0,84,36,14295919.0,1.29,1723.793404
7,1,10,-36.349998,11290,6626.0,4293.0,16.09,11,0,30817.05,0.59,0.21,4.54,0.47,13480.95,6797.26,26.28,4298.0,97,14,6906454.0,1.29,1326.884187
12,7,11,-27.059999,13250,7461.0,4965.0,6.11,15,0,34599.59,1.61,0.2,5.17,0.8,12014.55,7133.44,29.61,5618.0,87,18,11937619.0,1.88,1368.45693
2,7,8,-42.77,15257,5985.0,8635.0,2.99,3,3474,35375.84,0.46,0.34,4.67,0.59,13207.6,7038.37,31.16,4391.0,96,45,12346968.0,1.14,615.8663271
1,1,6,-40.689999,19950,6495.0,13087.0,2.88,5,0,35056.46,0.26,0.33,4.82,0.53,13532.06,7016.04,30.97,4639.0,99,65,17760768.0,1.25,2221.984788
10,11,7,-40.669998,18485,7348.0,10887.0,217.63,1,0,30319.59,0.55,0.33,4.58,0.49,13018.73,7104.16,31.39,5357.0,70,53,10538626.0,0.87,2148.586768
14,4,8,-57.970001,13602,7664.0,5045.0,2.73,8,0,34653.08,0.34,0.33,4.64,0.63,12985.89,7053.9,31.3,5285.0,89,31,7526310.0,0.9,2147.721324
4,7,7,-46.91,14535,6401.0,7822.0,22.36,5,4491,34775.43,0.67,0.27,5.2,0.07,13046.09,7045.17,29.3,4155.0,95,34,9105323.0,1.21,1063.619892
10,4,7,-42.790001,15610,6602.0,8758.0,31.28,16,8555,35579.35,0.47,0.33,4.64,0.57,13160.76,7056.25,31.21,4477.0,100,53,13183743.0,1.04,1507.253422
