treatment_company,operator,age,azimuth,md,tvd,footage_lateral_length,porpoise_deviation,porpoise_count,shale_footage,acoustic_impedance,log_permeability,poisson_ratio,toc,vcl,p-velocity,s-velocity,youngs_modulus,isip,pump_rate,total_number_of_stages,proppant_volume,proppant_fluid_ratio,production
7,11,10,6.6199999,13487,8725.0,3708.0,0.17,18,6578,34845.05,0.38,0.25,4.57,0.59,11834.57,7095.95,31.01,5951.0,70,20,2283359.0,0.86,2313.634337
3,5,10,-19.879999,18198,7239.0,10802.0,17.95,4,0,35273.5,1.26,0.34,4.36,1.67,12277.22,6434.2,29.62,5352.0,72,54,12334750.0,0.82,2761.444065
5,11,7,-38.599998,12065,6410.0,5249.0,202.07,1,0,30410.21,0.31,0.33,4.69,0.59,13269.06,6960.49,30.94,4204.0,69,26,5700058.0,0.87,1076.378568
4,1,10,-38.830002,11043,6684.0,4122.0,91.25,2,0,34823.06,0.47,0.34,4.65,0.58,13177.63,7045.44,31.18,4721.0,98,17,8432250.0,1.32,1542.269249
4,14,6,-38.360001,22807,6995.0,14128.0,7.8,24,9872,32892.64,0.87,0.28,4.63,0.49,11347.52,6771.6,28.73,5803.0,101,79,35886388.0,1.09,7909.584263
3,5,9,-29.370001,15253,6506.0,8491.0,10.19,11,0,35135.24,1.39,0.34,4.618651685393258,2.03,12195.96,6447.25,29.71,4891.0,63,42,7915510.0,0.68,1469.704099
4,14,8,-30.469999,13432,6763.0,6556.0,8.43,9,0,30890.67,0.76,0.26,5.13,0.5,12185.66,6775.06,27.67,4441.0,83,35,11803257.0,0.92,5451.207392
11,14,9,-52.16,10345,7285.0,2601.0,428.4,1,0,34746.05,0.84,0.28,4.18,0.5,11378.67,6771.0,28.98,5540.0,81,16,6086748.0,1.07,1510.448583
4,4,9,-13.79,11410,7789.0,2959.0,2.2,16,4741,28440.9,0.14,0.34,4.66,0.72,13084.93,6961.8,31.01,5053.0,100,20,5024220.0,0.98,1111.130826
10,4,6,-59.43,13813,7752.0,5811.0,53.63,4,0,30597.85,0.98,0.34,4.61,0.03,13711.49,6818.98,30.48,5944.0,100,29,12717979.0,1.41,1658.544047
12,4,7,-20.889999,13628,7999.0,5379.0,15.26,14,5765,28461.63,0.06,0.34,4.71,0.85,12952.48,6900.26,30.87,4965.485373781148,99,29,12600812.0,1.45,1514.538806
5,1,10,-28.280001,12016,5966.0,5230.0,1.05,16,0,31432.92,0.89,0.2,4.63,0.54,12287.06,6800.81,26.47,4112.0,100,14,8359436.0,1.43,2033.049394
19,20,10,-43.82,17275,8220.0,8488.0,0.18,5,0,34735.75,0.45,0.34,4.66,0.59,13193.31,7041.48,31.17,5212.0,91,20,7615261.0,1.56,1953.965546
10,4,7,-14.65,11248,7746.0,3252.0,6.52,11,6348,33405.79,0.5,0.34,4.69,0.39,13451.21,6904.38,30.74,5383.0,64,45,5487165.0,0.92,2091.469162
20,1,11,-10.12,14089,8170.0,5256.0,10.87,3,1950,35207.9,0.3,0.33,4.69,0.61,13239.1,6972.68,30.98,4445.0,80,14,5057471.0,0.84,1220.962747
3,8,5,-41.34,14812,7292.0,7014.0,8.0,12,5139,34734.8,0.31,0.33,4.69,0.59,13263.63,6963.04,30.94,5400.0,83,35,16873850.0,1.44,2568.174399
5,8,8,-47.43,17611,7206.0,10206.0,408.01,1,4827,34725.06,0.51,0.33,4.79,0.57,13337.93,7014.42,31.05,4965.485373781148,86,51,14825136.0,1.04,2164.30108
12,8,9,-13.66,15680,7287.0,8111.0,0.63,9,6315,33756.75,0.44,0.35,4.25,0.46,12593.32,7362.41,32.99,5636.0,90,48,12000033.0,1.08,1157.210249
1,4,12,-36.860001,11463,7142.0,3405.0,4.55,13,0,29728.79,1.35,0.21,5.1,0.59,12933.33,7029.52,29.27,5510.0,100,11,5968323.0,1.3,827.2269082
9,17,10,-25.99,15265,8067.0,6871.0,72.27,11,8768,31973.39,0.09,0.25,1.63,0.63,11162.8,6787.7,28.71,5830.0,80,26,8749521.0,1.08,1260.701634
2,20,11,-42.540001,13262,7315.0,5956.0,11.27,4,543,28885.25,0.45,0.34,4.67,0.59,13195.17,7037.21,31.15,4510.0,92,11,4054853.0,1.18,788.2344192
2,20,13,-36.98,15571,8728.0,6652.0,33.09,8,5924,34521.96,0.9,0.29,4.14,0.59,11775.92,7085.27,31.78,6132.0,77,15,5298280.0,1.25,1928.363679
5,8,12,-60.790001,11980,7638.0,3814.0,0.61,9,4121,35137.85,0.56,0.34,4.77,0.41,13454.66,6928.02,30.81,5723.0,68,12,1597680.0,0.41,637.1374945
1,13,7,-53.23,14429,6675.0,7504.0,17.75,6,0,33788.14,0.43,0.33,4.8,0.47,13597.75,6967.44,30.86,4536.0,93,35,20687016.0,1.14,1449.833735
12,27,9,-44.919998,13971,7997.0,5620.0,4.98,7,2311,34735.75,0.31,0.33,4.68,0.62,13456.54,6916.17,30.79,5820.0,86,18,14230171.0,1.44,1828.47005
12,8,7,-35.41,15200,7258.0,7391.0,2.29,10,0,28097.4,0.64,0.33,4.95,0.45,13488.08,6963.24,30.89,4854.0,96,37,18546620.0,1.22,3513.421627
5,1,10,-53.040001,12697,7457.0,4990.0,187.68,3,2282,35230.46,1.14,0.31,3.91,0.48,12277.65,6760.19,29.52,5051.0,100,12,5986507.0,1.35,1464.560798
4,14,6,-45.099998,17845,7038.0,10557.0,12.32,4,3983,34290.24,1.1,0.29,4.62,0.45,11911.21,6764.54,28.81,5415.0,104,46,23051300.0,1.16,7269.339425
12,25,6,-14.43,18273,8920.0,9103.0,23.27,3,4461,35272.39,0.48,0.34,4.64,0.57,13158.92,7055.89,31.21,4684.0,89,45,19918350.0,1.58,3502.676733
12,4,6,-35.119999,24960,7873.0,16837.0,9.05,9,0,34770.3,0.16,0.34,4.44,0.7,13228.48,6831.6,30.56,4917.0,80,93,37454076.0,1.35,3332.98987
3,1,8,-33.905735419037036,12613,6395.0,5833.0,10.56,9,6075,34404.43,1.09,0.28,5.02,0.44,12411.92,6765.6,28.12,4965.485373781148,93,28,11107880.0,1.21,3970.884139
8,1,11,-32.419998,12980,6334.0,6503.0,0.72,4,2450,35185.42,0.18,0.33,4.87,0.52,13500.53,7043.04,31.04,4672.0,76,20,7553380.0,1.59,717.5028862
10,11,12,-26.49,9570,6102.0,2768.0,0.46,11,2628,35313.77,0.48,0.33,4.65,0.58,13166.54,7031.03,31.14,3751.0,69,13,2492541.0,0.83,211.8345344
4,14,6,-35.59,12130,7756.0,4124.0,3.35,28,13120,34599.59,0.13,0.25,3.38,0.62,11099.22,6785.92,28.38,5398.0,104,22,11072692.0,1.14,2541.509207
3,1,6,-42.880001,17565,6440.0,11024.0,10.4,4,3135,34098.48,0.29,0.33,4.69,0.6,13239.05,6971.01,30.97,4936.0,90,56,21083650.0,1.48,5410.382164
12,17,12,-29.299999,13843,7935.0,5710.0,4.96,10,5937,35337.23,0.0,0.24,2.06,0.64,11186.02,6792.69,28.47,5762.0,80,23,11156443.0,1.25,5694.299028
1,1,12,-32.369999,11875,5658.0,5659.0,2.98,10,0,34779.81,0.05,0.34,4.66,0.67,13160.78,6912.23,30.8,4295.0,85,22,7078600.0,1.37,799.576917
21,25,9,-40.66,13600,7894.0,5456.0,7.99,10,4514,35190.53,0.56,0.33,4.75,0.4,13457.7,6923.45,30.79,4684.0,87,22,15157890.0,2.24,3633.961109
7,11,11,-36.639999,13288,8965.0,3700.0,5.03,9,5986,33430.98,0.15,0.26,4.6,0.75,11850.01,7096.72,31.25,6747.0,69,20,2287340.0,1.11,1454.146041
1,1,6,-15.12,15425,5839.0,8745.0,567.7,1,3772,31380.2,0.49,0.33,4.66,0.59,13170.5,7029.04,31.13,4291.0,96,33,15908520.0,1.55,1317.218908
12,9,11,-32.830002,11127,8492.0,2308.0,3.11,6,4867,34726.14,0.89,0.28,4.618651685393258,0.48,11644.48,7066.51,31.62,6164.0,92,10,3799250.0,1.38,315.8578354
9,11,6,-51.830002,16964,7775.0,7894.0,52.63,7,1864,34714.74,0.6,0.33,4.86,0.58,12629.66,7216.68,31.97,5259.0,70,39,7824845.0,0.89,3356.775143
8,26,10,-59.66,13027,8044.0,4442.0,46.46,9,9899,34400.76,0.24,0.33,5.07,0.92,12993.86,6940.65,31.4,5499.0,87,18,2427318.0,0.85,1085.913586
1,1,11,-31.68,10749,5800.0,4507.0,0.69,6,9712,32881.52,0.42,0.34,4.72,0.59,13272.11,7014.89,31.07,3755.0,95,14,4418866.0,1.23,405.6472
23,4,10,-46.360001,10824,6731.0,3586.0,1.1,9,5245,35169.83,0.18,0.24,4.49,0.57,13358.84,6857.38,30.62,5050.0,95,25,5810753.0,0.84,836.5984835
4,14,7,-24.780001,11664,6730.0,4381.0,0.42,15,6279,34752.38,1.02,0.28,5.0,0.45,11924.49,6768.91,28.21,5148.0,110,22,11008611.0,1.19,4057.135127
12,22,7,-52.330002,13228,6294.0,6684.0,3.6,7,0,30623.12,0.44,0.33,4.68,0.59,13206.37,7037.54,31.15,4451.0,97,31,16277466.0,1.22,1703.822367
10,6,12,-38.77,12930,7094.0,5618.0,5.24,4,2131,34742.11,0.14,0.23,4.87,0.5,11673.67,6788.26,27.58,5041.0,67,10,6040910.0,1.22,1910.528491
12,7,12,-36.720001,11247,7546.0,3226.0,7.24,6,1010,30561.77,1.65,0.2,5.2,0.86,11951.84,7139.41,29.59,5520.0,80,14,3982340.0,1.06,734.9410991
12,27,9,-62.369999,12336,8013.0,3630.0,0.89,3,1075,35216.9,0.18,0.34,4.64,0.67,13309.81,6919.51,30.8,6167.0,90,12,7037949.0,1.07,1172.259745
5,18,11,-38.450001,12875,7478.0,4825.0,227.76,1,3954,34960.82,0.47,0.33,4.64,0.57,13147.24,7056.87,31.22,5350.0,76,12,1812294.0,0.41,573.5786895
12,29,6,-47.580002,11931,6657.0,5013.0,6.99,23,0,35165.63,0.64,0.32,4.81,0.52,12695.5,7475.46,32.71,5231.0,100,28,10843506.0,1.04,904.8268466
4,4,8,9.8400002,12481,7470.0,3845.0,5.4,8,0,34663.15,1.22,0.35,5.06,0.93,12104.09,6417.09,29.43,6096.0,98,25,6275340.0,0.95,562.3918917
1,11,7,-32.029999,21254,5685.0,14712.0,62.97,2,4676,32897.83,0.29,0.33,4.68,0.62,13216.42,6986.63,31.03,4107.0,83,77,35251304.0,1.08,1758.291183
4,1,10,-44.52,12895,6413.0,6335.0,12.75,13,7319,35109.27,0.5,0.33,4.83,0.56,13280.73,7014.03,31.04,5084.0,100,20,9820553.0,1.32,1128.294646
3,5,8,-16.139999,19419,6394.0,12409.0,13.44,16,2382,34589.38,0.46,0.33,4.67,0.59,13207.6,7038.37,31.16,4337.0,69,60,20216956.0,0.94,2414.029859
8,4,12,-33.905735419037036,12588,6578.0,5185.0,6.1,18,0,34754.98,0.3,0.33,4.66,0.61,13178.24,7013.4,31.11,4706.0,83,16,6561532.0,1.12,545.2123628
8,26,8,-33.905735419037036,12083,6628.0,4410.0,378.93,1,0,30923.59,0.16,0.34,4.51,0.54,13356.46,6862.91,30.64,4953.0,97,20,6592520.0,0.77,487.3042642
8,4,10,-24.5,12460,6772.0,4997.0,84.23,1,0,30602.81,0.54,0.34,3.91,0.71,12756.14,6694.28,30.2,4487.0,81,20,7931021.0,1.09,529.0190926
15,19,9,-61.299999,12378,5907.0,6060.0,11.99,15,4986,31388.86,0.06,0.33,4.61,0.73,13170.64,6895.76,30.78,4388.0,83,26,9515041.0,0.88,690.7747681
5,11,6,-10.57,13262,6087.0,6925.0,18.48,14,5383,34531.66,0.47,0.33,4.64,0.57,13160.76,7056.25,31.21,3922.0,70,29,8710991.0,0.92,1139.134349
16,14,10,11.92,14719,6110.0,7253.0,11.86,3,0,34603.7,0.47,0.25,5.16,0.49,12668.57,6780.53,27.26,4757.0,80,40,15246000.0,1.05,4236.481159
9,6,5,-5.6900001,16979,8782.0,7947.0,5.08,4,6132,32627.37,0.47,0.34,4.65,0.58,13177.63,7045.44,31.18,5445.0,78,32,22200672.0,1.85,5772.391307
6,5,9,-21.299999,15214,7217.0,7819.0,4.42,8,4443,34682.66,1.23,0.34,4.02,1.81,12395.72,6486.56,29.75,5101.0,64,39,9376300.0,0.9,2445.046944
8,26,9,-37.049999,11565,7906.0,3372.0,7.47,16,7375,33126.6,1.08,0.32,5.49,0.83,12691.94,7365.82,32.75,6460.0,47,30,2750448.0,0.67,342.419261
12,25,6,-18.959999,13836,7681.0,5442.0,14.18,6,3570,30755.07,1.47,0.24,4.08,0.42,12244.14,6836.45,28.15,4896.0,90,28,12343800.0,1.32,1608.426859
13,15,13,-2.04,9150,5146.0,3270.0,10.47,5,3779,35210.29,0.3,0.33,4.69,0.6,13252.12,6966.27,30.96,4123.0,70,11,3930031.0,1.9,598.1595062
6,4,9,-65.610001,14407,7200.0,6334.0,93.88,9,7158,34559.0,0.68,0.34,5.0,0.42,13592.23,6950.44,30.82,5277.0,96,42,10639608.0,0.9,3019.078942
12,9,10,-19.610001,16584,8446.0,7923.0,8.59,5,0,34730.4,0.93,0.27,4.81,0.5,11596.11,7047.21,31.19,6147.0,91,39,10541538.0,1.09,993.0031844
7,4,9,-16.85,14011,8100.0,5380.0,14.18,11,0,30857.3,0.05,0.34,4.618651685393258,0.77,13091.32,6911.33,30.85,5808.0,99,29,7656131.0,0.77,2247.646504
1,26,11,-55.75,12402,8443.0,3966.0,24.18,27,12059,34755.29,0.24,0.33,5.11,0.92,12995.64,6973.22,31.54,5690.0,93,10,2939467.0,0.8,786.4869962
9,17,11,-10.42,11057,6265.0,4145.0,0.49,24,14703,34745.94,0.8,0.26,5.15,0.44,13239.01,6774.38,27.15,4106.0,77,28,4307523.0,1.13,569.3138327
2,2,9,-20.040001,15078,5879.0,8604.0,0.43,32,10231,33143.52,0.47,0.33,4.64,0.57,13168.79,7058.84,31.22,4965.485373781148,110,24,14421070.0,2.22,1293.777093
5,8,10,-56.200001,17042,7630.0,9013.0,0.66,14,4721,35185.98,0.45,0.33,4.75,0.56,13312.97,6994.3,31.01,5565.0,80,60,12015000.0,1.07,1522.073696
2,2,13,-33.905735419037036,10218,6389.0,3703.0,4.07,6,2961,28764.37,0.53,0.33,4.78,0.41,13451.61,6934.0,30.82,3493.0,100,11,4417255.0,1.48,424.0521037
24,4,6,-48.290001,10782,6701.0,3603.0,0.26,25,12410,34633.59,0.64,0.34,4.07,0.56,12677.36,6707.0,30.23,4226.0,95,18,7658760.0,1.4,830.215801
9,11,6,-36.07,24912,6468.0,18208.0,104.71,1,0,35056.46,0.29,0.33,4.68,0.63,13203.24,6983.49,31.02,4222.0,84,91,27453790.0,0.88,3207.420275
4,4,8,-63.150002,13721,6664.0,3623.0,141.51,1,0,35153.19,0.53,0.33,4.78,0.41,13451.61,6934.0,30.82,4357.0,101,22,5549000.0,0.97,991.8168128
7,11,12,-27.25,13440,8870.0,4255.0,43.3,5,0,34599.59,0.94,0.29,4.27,0.7,11814.56,7090.58,31.82,4965.485373781148,70,15,1744237.0,0.53,856.517094
10,11,12,-42.68,9152,6154.0,2770.0,83.33,3,2766,34111.39,0.26,0.33,4.68,0.61,13255.17,6953.57,30.92,3936.0,69,9,2781614.0,1.13,247.5099139
10,11,11,-47.709999,10232,6423.0,3504.0,0.18,11,5488,35190.53,0.41,0.33,4.78,0.6,13238.79,7142.58,31.35,4333.0,70,17,8349601.0,1.15,679.6426083
5,8,13,-20.74,12300,7565.0,4305.0,12.81,6,9144,31757.82,1.24,0.32,4.91,0.97,12591.21,7452.63,32.83,5643.0,86,15,2121223.0,0.38,958.5347519
16,14,12,-33.905735419037036,14600,7283.0,6586.0,5.22,5,3519,35012.49,0.1,0.25,3.77,0.62,11137.39,6786.47,28.24,4965.485373781148,80,35,13298793.0,1.06,8444.751759
1,5,7,-24.9,15114,6434.0,8323.0,8.85,9,2971,28589.71,0.26,0.34,4.68,0.62,13263.35,6960.29,30.94,4965.485373781148,78,42,21264292.0,1.12,2753.767962
8,1,10,-29.51,12860,6249.0,6227.0,1.69,13,0,34679.94,0.21,0.33,4.88,0.49,13429.59,7097.51,31.18,4487.0,82,22,11285435.0,1.14,768.2413008
8,6,12,-47.34,10912,6067.0,4575.0,11.35,15,0,34642.75,0.06,0.33,4.61,0.73,13170.64,6895.76,30.78,5047.0,67,13,5676000.0,1.22,369.4334119
3,1,6,-36.630001,12532,5981.0,5993.0,4.66,15,0,32361.66,0.21,0.33,4.85,0.33,13349.26,7157.38,31.34,4698.0,90,43,21534356.0,1.85,1402.93369
3,8,7,-57.77,15020,6266.0,8247.0,0.72,2,2825,34261.43,0.28,0.33,4.68,0.62,13204.97,6985.98,31.03,4965.485373781148,90,42,16568523.0,1.22,1504.99761
2,6,9,-33.290001,18895,8044.0,10601.0,123.83,1,0,30469.83,0.94,0.21,3.2,0.46,11661.99,6810.27,27.94,5832.0,87,47,18847346.0,1.37,3699.152561
1,20,11,-33.905735419037036,14855,8105.0,6064.0,314.32,8,8930,34765.36,0.28,0.33,4.68,0.62,13204.97,6985.98,31.03,5321.0,84,11,5650875.0,1.48,1237.400263
1,5,7,-36.860001,18189,6585.0,10942.0,14.78,22,12274,34708.68,1.24,0.34,3.75,1.8,12457.46,6553.04,29.91,3784.0,76,54,8533380.0,0.39,2158.870388
1,8,8,-27.02,14080,6956.0,6426.0,1.94,20,7096,33828.42,0.47,0.33,4.66,0.58,13184.96,7049.93,31.19,4658.0,86,29,11559831.0,0.76,1666.91744
16,14,10,-27.200001,11811,6241.0,5219.0,27.92,3,0,34776.92,0.36,0.25,5.15,0.53,12369.97,6781.48,27.38,4837.0,80,30,11457679.0,1.05,2554.089467
8,30,8,-45.799999,9473,5648.0,3292.0,20.42,7,1746,34879.27,0.59,0.33,4.56,0.31,13507.64,6877.28,30.66,4485.0,87,22,6141882.0,1.27,565.7296862
4,1,11,-50.650002,11723,6535.0,4592.0,19.33,9,6053,35438.36,0.58,0.21,4.47,0.49,13536.45,6797.42,26.22,4730.0,99,16,7486965.0,1.21,1555.761614
12,25,10,-11.73,13390,8417.0,4843.0,10.55,2,0,35084.51,1.38,0.21,3.87,0.49,12025.9,6821.91,27.83,5809.0,90,24,11727563.0,1.18,3313.900726
1,2,8,-17.52,14921,6375.0,8341.0,146.95,0,0,29774.6,1.41,0.19,6.41,0.53,11950.22,7018.34,28.23,5045.0,86,23,13789190.0,1.42,1806.092276
10,11,13,-28.26,10370,6525.0,3636.0,17.1,5,5212,29736.88,0.26,0.33,4.68,0.61,13255.17,6953.57,30.92,4965.485373781148,69,11,3531429.0,0.94,715.1025636
3,8,5,-34.740002,14956,7300.0,6877.0,9.15,12,5082,33696.46,0.31,0.33,4.66,0.61,13182.77,7015.94,31.11,5112.0,80,34,16646094.0,1.47,2469.849333
12,9,11,-14.26,13866,8628.0,4922.0,4.32,4,2505,34727.69,0.9,0.29,4.36,0.48,11683.91,7070.63,31.7,6078.0,91,18,7014641.0,1.29,607.2159774
24,4,6,-32.07,16832,7494.0,8986.0,3.96,9,0,29404.23,0.35,0.33,4.68,0.61,13203.94,7003.34,31.06,5785.0,86,45,20005626.0,1.28,2677.527552
6,14,10,-57.84,11229,7402.0,2691.0,32.85,11,0,35293.43,0.1,0.24,4.22,0.59,11277.18,6790.23,27.87,5674.0,80,16,6129300.0,1.08,1690.709877
4,4,8,-11.28,11380,6655.0,3952.0,24.07,6,534,35185.86,0.54,0.33,4.44,0.25,13493.47,6853.18,30.59,4371.0,98,27,6794225.0,0.98,1053.833259
1,1,9,-0.19,11623,5944.0,5256.0,6.63,10,6433,33757.01,0.35,0.33,4.65,0.6,13164.73,7033.62,31.16,3927.0,100,10,10066260.0,1.83,1039.036555
12,25,6,0.80000001,12286,8279.0,3327.0,16.71,22,8267,33164.9,1.74,0.25,3.91,0.6,11468.38,6876.92,28.48,5862.0,92,19,8372293.0,1.52,1481.044527
12,4,6,-31.360001,19966,7852.0,11488.0,3.25,20,11182,32152.96,0.17,0.33,4.85,0.87,12869.52,6990.64,31.31,4724.0,99,41,15598040.0,1.33,4153.992822
9,11,9,-17.639999,16070,8395.0,7225.0,39.83,11,8248,34771.54,0.88,0.28,4.55,0.77,11821.01,7093.07,31.67,6567.0,71,41,4680448.0,1.02,1597.517198
3,1,6,-49.860001,18867,6361.0,11415.0,0.19,9,5536,34589.69,0.29,0.34,4.68,0.63,13203.24,6983.49,31.02,4761.0,88,64,23425792.0,1.31,5038.05816
8,6,12,-17.290001,14515,6210.0,7712.0,18.9,19,9558,35025.42,0.3,0.24,5.11,0.38,12666.11,6785.05,27.15,4114.0,72,13,9226919.0,1.28,1196.98619
25,4,7,3.3699999,19590,6932.0,10410.0,9.13,5,2191,29198.18,1.41,0.2,5.17,0.65,12748.89,7064.66,29.37,5407.0,94,32,12817632.0,1.12,1857.675072
10,11,9,-50.150002,13225,6260.0,6151.0,3.91,6,0,34617.29,0.59,0.34,4.56,0.31,13507.64,6877.28,30.66,4539.0,70,29,14233032.0,1.14,1009.916439
1,26,11,-86.389999,13405,8028.0,4284.0,264.87,1,0,31331.08,0.04,0.34,4.62,0.79,13089.28,6883.41,30.76,5426.0,99,10,3498780.0,0.86,1085.165502
8,31,12,-28.610001,12028,8181.0,3335.0,110.43,3,0,34742.11,0.81,0.34,4.618651685393258,0.55,13187.04,7372.99,33.1,6577.0,86,22,4121980.0,0.85,399.8391053
24,2,6,-6.0599999,11601,5781.0,5469.0,1.51,20,0,34599.59,0.26,0.33,4.68,0.61,13239.24,6958.72,30.94,4095.0,91,20,9472652.0,2.17,929.8490335
1,5,7,-39.639999,15093,6425.0,8132.0,1.39,6,4806,29605.94,0.5,0.33,4.74,0.6,13275.54,7042.77,31.13,3091.0,75,38,15464855.0,1.17,1745.396318
9,16,8,-20.110001,14425,7071.0,7104.0,6.29,8,6269,35143.87,1.06,0.34,3.82,1.64,12576.4,6568.39,29.92,4717.0,75,34,6045033.0,0.63,2106.236789
4,14,7,-41.84,12240,6648.0,5342.0,1.71,11,0,34582.87,0.14,0.24,5.08,0.51,11884.85,6784.76,27.55,5197.0,110,27,13516393.0,1.19,6737.666434
10,11,7,-51.209999,16591,7600.0,8848.0,1.51,18,0,35169.14,0.6,0.33,4.85,0.5,12683.25,7202.9,31.85,5651.0,70,44,8807216.0,0.85,3578.857004
3,5,6,-26.68,16913,6455.0,10193.0,8.3,13,5518,32987.99,0.17,0.33,4.48,0.52,13346.62,6855.51,30.61,3684.0,76,52,25671304.0,1.08,3474.159355
2,20,11,-31.82,15515,8262.0,6760.0,25.54,7,2627,34833.46,0.62,0.33,4.76,0.46,13487.45,6941.16,30.86,5236.0,83,11,4117644.0,1.18,1323.963058
1,5,6,-26.48,17671,6431.0,10887.0,41.29,9,5150,34167.78,1.4,0.34,3.61,1.84,12368.37,6546.45,29.92,3995.0,77,55,21822590.0,1.01,2351.924399
16,14,9,-33.905735419037036,13735,7123.0,6362.0,16.16,6,5201,29237.25,1.02,0.28,4.81,0.45,11699.89,6768.05,28.55,5205.0,80,30,11432858.0,0.95,3226.084097
9,14,10,-50.419998,12407,7238.0,4672.0,35.78,2,3071,34069.93,0.91,0.27,4.92,0.47,11470.5,6771.83,28.38,4989.0,84,20,7256254.0,1.08,3481.344425
12,7,11,-32.23,12023,6048.0,5597.0,10.62,10,472,34661.95,0.31,0.3,4.68,0.62,13456.54,6916.17,30.79,4518.0,90,37,7985190.0,1.06,1649.383242
10,11,11,-30.08,11690,6566.0,3851.0,6.76,9,4298,35301.13,0.44,0.33,4.74,0.44,13178.65,7185.79,31.46,4157.0,70,18,5045594.0,0.94,551.7167452
1,25,10,-16.18,14541,7922.0,6287.0,0.51,21,16291,33295.01,0.26,0.26,2.54,0.6,11113.49,6783.33,28.7,5847.0,90,37,10554243.0,0.85,2081.978448
9,1,8,-66.400002,12734,6935.0,5549.0,9.48,11,6031,34582.87,0.62,0.33,4.91,0.44,13478.62,6953.4,30.86,4965.485373781148,2,19,9545338.0,1.67,1025.3764
12,22,6,-33.905735419037036,12427,5359.0,6818.0,19.57,15,0,34784.01,0.54,0.34,4.83,0.42,13453.26,6933.44,30.81,4104.0,100,35,14847728.0,1.09,876.2633795
12,25,10,1.28,12180,6581.0,4581.0,36.58,5,0,30823.71,0.65,0.34,5.14,0.4,13591.62,6954.28,30.84,4318.0,89,28,14051449.0,1.24,1719.503341
12,25,6,-23.200001,19466,8988.0,10482.0,6.1,6,4061,30034.49,1.41,0.24,4.1,0.6,11974.57,6805.45,27.68,4754.0,89,59,25893920.0,1.56,4642.388947
8,26,7,-39.209999,13216,6341.0,6333.0,16.84,7,4143,27656.3,0.28,0.33,4.68,0.62,13204.97,6985.98,31.03,4482.0,98,25,12369844.0,0.95,467.087435
1,11,8,-11.12,13021,6033.0,6738.0,14.6,12,0,34850.7,0.62,0.33,4.85,0.46,13479.49,6980.1,30.95,4048.0,70,28,10978129.0,1.06,758.1048371
2,2,13,-10.84,12095,5907.0,5511.0,3.21,15,6596,34748.79,1.19,0.19,6.29,0.5,12161.64,7026.79,28.09,4466.0,82,16,6460784.0,1.39,1202.434749
1,1,7,-55.130001,11881,7041.0,4300.0,81.85,8,5519,34636.68,0.49,0.33,4.66,0.58,13167.66,7032.46,31.14,5144.0,99,21,8327928.0,1.25,2325.827378
3,5,8,-17.84,13878,6385.0,6828.0,3.22,8,0,35137.85,0.46,0.33,4.66,0.58,13182.1,7047.33,31.18,4452.0,74,34,10224970.0,0.89,1647.260447
12,25,10,-17.799999,14350,8961.0,5268.0,93.68,11,0,30615.06,1.17,0.22,4.08,0.67,11903.69,6800.98,27.32,4732.0,89,29,14381981.0,1.17,3666.884738
8,4,10,-15.81,11559,6544.0,4765.0,34.14,10,1739,34776.92,0.29,0.27,4.69,0.61,13227.81,6976.93,30.99,4965.485373781148,81,18,7427334.0,1.17,539.436705
2,20,13,-34.509998,13373,8496.0,4543.0,2.59,19,9760,34556.0,0.86,0.28,4.04,0.51,11741.27,7081.29,31.7,5831.0,82,11,4999610.0,1.34,1497.412558
3,5,9,-19.93,16792,6398.0,9882.0,172.2,1,5999,29639.34,0.29,0.33,4.69,0.6,13239.05,6971.01,30.97,4594.0,63,49,10883240.0,0.83,2540.652486
12,27,9,-35.02,13521,7989.0,4907.0,3.54,8,0,28220.68,0.43,0.33,4.72,0.57,13599.66,6944.12,30.83,6252.0,90,16,9280475.0,1.07,1534.320525
8,6,7,-25.52,14947,7577.0,7120.0,96.91,3,0,27855.58,0.02,0.24,3.13,0.63,11159.05,6793.55,28.15,5885.0,91,29,11125966.0,1.74,5741.937639
5,16,8,-17.969999,13531,7072.0,6028.0,14.99,7,652,35039.79,1.04,0.34,3.83,1.62,12590.12,6568.47,29.92,4555.0,75,16,5199151.0,0.71,1374.034842
12,25,7,-28.559999,13474,7884.0,5340.0,16.96,12,6524,33442.24,0.53,0.33,4.78,0.41,13451.61,6934.0,30.82,4630.0,86,27,10320291.0,1.38,2795.902594
5,15,10,-24.620001,11206,5511.0,5251.0,5.71,6,1051,30671.68,0.43,0.26,4.68,0.58,13182.01,7011.47,31.09,2225.0,92,15,5237694.0,1.39,695.823792
8,26,9,-24.9,11807,7767.0,3340.0,1.09,4,3055,31199.11,0.47,0.34,4.66,0.58,13199.38,7044.85,31.17,5740.0,88,14,5405191.0,0.96,694.1552417
12,25,7,-26.709999,13578,7085.0,6243.0,40.04,7,5532,31803.97,1.46,0.24,4.12,0.37,12300.28,6845.28,28.3,4965.485373781148,97,35,10592295.0,1.27,2015.587568
10,4,7,-37.209999,15667,6894.0,8270.0,14.37,7,5158,27589.48,0.31,0.33,4.69,0.61,13250.88,6972.71,30.98,4649.0,91,41,13519020.0,1.25,2327.256242
